日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,46.35,45.66,46.48,45.49,173627,189401392.0,2.14,-1.32,-0.61,1.76
2010-01-05,45.88,44.46,46.14,44.03,314633,332003936.0,4.62,-2.63,-1.2,3.18
2010-01-06,44.46,44.42,45.28,43.64,234084,246690064.0,3.69,-0.09,-0.04,2.37
2010-01-07,43.95,45.28,46.74,43.26,472863,506484096.0,7.83,1.94,0.86,4.79
2010-01-08,45.06,47.51,47.73,44.42,553769,610549120.0,7.31,4.92,2.23,5.6
2010-01-11,47.9,46.57,48.59,46.18,359493,401631392.0,5.07,-1.98,-0.94,3.64
2010-01-12,46.65,47.77,47.94,46.35,308184,345836768.0,3.41,2.58,1.2,3.12
2010-01-13,46.31,45.19,46.78,44.42,422021,457186496.0,4.94,-5.4,-2.58,4.27
2010-01-14,45.06,45.79,46.09,44.2,209684,226482560.0,4.18,1.33,0.6,2.12
2010-01-15,45.97,48.24,48.72,45.84,555533,629832256.0,6.29,5.35,2.45,5.62
2010-01-18,48.2,49.58,50.48,47.73,434663,509639616.0,5.7,2.78,1.34,4.4
2010-01-19,50.13,49.92,52.07,49.66,456002,548477376.0,4.86,0.69,0.34,4.61
2010-01-20,49.62,49.62,51.72,48.84,524125,626739328.0,5.77,-0.6,-0.3,5.3
2010-01-21,49.36,49.7,50.39,47.73,298692,348392096.0,5.36,0.16,0.08,3.02
2010-01-22,48.5,47.56,49.27,46.48,217437,246624368.0,5.61,-4.31,-2.14,2.2
2010-01-25,47.47,44.72,47.47,44.55,267275,289532480.0,6.14,-5.97,-2.84,2.7
2010-01-26,44.68,42.53,45.15,42.05,185001,191202400.0,6.93,-4.9,-2.19,1.87
2010-01-27,42.48,43.21,44.29,41.93,174380,178244384.0,5.55,1.6,0.68,1.76
2010-01-28,43.13,44.16,44.63,42.74,99171,103433400.0,4.37,2.2,0.95,1.0
2010-01-29,43.9,43.9,45.19,43.21,140179,147345264.0,4.48,-0.59,-0.26,1.42
2010-02-01,43.69,44.03,45.06,42.05,186273,191733616.0,6.86,0.3,0.13,1.89
2010-02-02,44.33,43.26,45.71,42.96,147410,156037072.0,6.25,-1.75,-0.77,1.49
2010-02-03,43.26,44.85,45.06,41.97,259111,269847424.0,7.14,3.68,1.59,2.62
2010-02-04,44.42,49.45,49.45,44.2,1119807,1296969856.0,11.71,10.26,4.6,11.33
2010-02-05,49.53,47.13,51.08,46.65,1066509,1238272640.0,8.96,-4.69,-2.32,10.78
2010-02-08,46.7,45.49,47.21,44.89,440872,478783232.0,4.92,-3.48,-1.64,4.46
2010-02-09,45.92,44.29,46.61,43.77,275663,293389408.0,6.24,-2.64,-1.2,2.79
2010-02-10,44.63,44.85,45.06,44.03,160805,170393232.0,2.33,1.26,0.56,1.63
2010-02-11,44.85,44.55,45.49,44.29,137404,146051248.0,2.68,-0.67,-0.3,1.39
2010-02-12,44.85,45.75,46.14,44.42,177348,191605360.0,3.86,2.69,1.2,1.79
2010-02-22,45.06,44.42,45.32,44.12,198269,209872304.0,2.62,-2.91,-1.33,2.0
2010-02-23,44.33,45.11,45.28,44.2,165530,175600528.0,2.43,1.55,0.69,1.67
